_id,Date,Address,Postal_Code,County,Price,Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
7055,2019-06-12T00:00:00,"TULLYALLEN, 14 HOLLYBROOK PARK, CLONTARF",,Dublin,"€1,700,000.00",No,No,Second-Hand Dwelling house /Apartment,
6960,2019-06-10T00:00:00,"INCHYRA, 8 MONKSTOWN CRESCENT, MONKSTOWN",,Dublin,"€1,690,000.00",No,No,Second-Hand Dwelling house /Apartment,
1901,2019-02-19T00:00:00,"APT 16, FOUR SEASONS, BALLSBRIDGE",Dublin 4,Dublin,"€1,650,000.00",No,No,Second-Hand Dwelling house /Apartment,
2563,2019-03-04T00:00:00,"ALTA, ST FINTANS RD, SUTTON DUBLIN 13",Dublin 13,Dublin,"€1,650,000.00",No,No,Second-Hand Dwelling house /Apartment,
3842,2019-04-02T00:00:00,"6 TIVOLI TERRACE EAST, DUN LAOGHAIRE, DUBLIN",,Dublin,"€1,650,000.00",No,No,Second-Hand Dwelling house /Apartment,
8887,2019-07-17T00:00:00,"St. Benedicts orse DAMSON LODGE, BRIGHTON ROAD, FOXROCK",,Dublin,"€1,650,000.00",No,No,Second-Hand Dwelling house /Apartment,
5068,2019-04-30T00:00:00,"9 ALBANY RD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€1,645,000.00",No,No,Second-Hand Dwelling house /Apartment,
299,2019-01-15T00:00:00,"3 AIRFIELD PARK, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,"€1,625,000.00",No,No,Second-Hand Dwelling house /Apartment,
3876,2019-04-03T00:00:00,"23 LEESON STREET UPPER, DUBLIN 4",Dublin 4,Dublin,"€1,625,000.00",No,No,Second-Hand Dwelling house /Apartment,
8731,2019-07-12T00:00:00,"PORTLAND, THE GREEN RD, DALKEY",,Dublin,"€1,625,000.00",No,No,Second-Hand Dwelling house /Apartment,
729,2019-01-24T00:00:00,"9 Grosvenor Road, Rathmines",Dublin 6,Dublin,"€1,624,000.00",No,No,Second-Hand Dwelling house /Apartment,
7735,2019-06-25T00:00:00,"3A ST MARYS RD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,612,500.00",No,No,Second-Hand Dwelling house /Apartment,
7388,2019-06-18T00:00:00,"79 RATHGAR RD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€1,610,000.00",No,No,Second-Hand Dwelling house /Apartment,
403,2019-01-17T00:00:00,"45 WATERLOO ROAD, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
450,2019-01-18T00:00:00,"2 TOWER HILL, HARBOUR RD, DALKEY",,Dublin,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
1341,2019-02-07T00:00:00,"78 NORTHUMBERLAND RD, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
3251,2019-03-20T00:00:00,"DALWHINNIE, LEOPARDSTOWN RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
8419,2019-07-08T00:00:00,"57 SEAFIELD ROAD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€1,595,000.00",No,No,Second-Hand Dwelling house /Apartment,
6350,2019-05-28T00:00:00,"APT 1 -6, 44 SOUTH CIRCULAR ROAD, PORTEBELLO",,Dublin,"€1,588,000.00",No,No,Second-Hand Dwelling house /Apartment,
560,2019-01-21T00:00:00,"73 HIGHFIELD RD, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€1,580,000.00",No,No,Second-Hand Dwelling house /Apartment,
2535,2019-03-04T00:00:00,"29 GEORGIAN VILLAGE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€1,575,000.00",No,No,Second-Hand Dwelling house /Apartment,
5009,2019-04-29T00:00:00,"ALTON GRANGE, WESTMINSTER RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€1,556,996.00",Yes,No,Second-Hand Dwelling house /Apartment,
2492,2019-03-01T00:00:00,"CINTRA, 14A GARVILLE RD, RATHGAR DUBLIN 6",Dublin 6,Dublin,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
4238,2019-04-11T00:00:00,"169 STRAND RD, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
8818,2019-07-16T00:00:00,"38 WATERLOO RD UPSTAIRS, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
9169,2019-07-24T00:00:00,"30 TREES RD LOWER, MOUNT MERRION, DUBLIN",,Dublin,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
9714,2019-08-08T00:00:00,"175 ORWELL RD, RATHGAR, DUBLIN 14",Dublin 14,Dublin,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
9475,2019-07-31T00:00:00,"7 EDEN PARK, GLASTHULE, DUN LAOGHAIRE",,Dublin,"€1,530,000.00",No,No,Second-Hand Dwelling house /Apartment,
2833,2019-03-08T00:00:00,"DISWELLSTOWN HOUSE, DISWELLSTOWN, CASTLEKNOCK",Dublin 15,Dublin,"€1,526,000.00",No,No,Second-Hand Dwelling house /Apartment,
9646,2019-08-06T00:00:00,"30 LOUVAIN, ARDILEA, CLUAIN SCEACH DUBLIN 14",Dublin 14,Dublin,"€1,525,000.00",No,No,Second-Hand Dwelling house /Apartment,
8111,2019-07-02T00:00:00,"11 STRAND ROAD, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€1,522,500.00",No,No,Second-Hand Dwelling house /Apartment,
5366,2019-05-07T00:00:00,"4 BELGRAVE SQ, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€1,505,000.00",No,No,Second-Hand Dwelling house /Apartment,
9317,2019-07-26T00:00:00,"50 DARTMOUTH SQUARE, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"€1,505,000.00",No,No,Second-Hand Dwelling house /Apartment,
1333,2019-02-07T00:00:00,"49A ORWELL PARK, RATHGAR, DUBLIN 6",Dublin 6,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
3373,2019-03-22T00:00:00,"JOHNSTOWN RD, DUN LAOGHAIRE, DUBLIN",,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
6905,2019-06-07T00:00:00,"Apartment 13, Orwell Hall  Block C, Marianella",Dublin 6,Dublin,"€1,500,000.00",No,Yes,New Dwelling house /Apartment,
7950,2019-06-28T00:00:00,"2 SUNBURY PARK, DARTRY, DUBLIN 6",Dublin 6,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
8476,2019-07-09T00:00:00,"6 CROFTON TERRACE, DUN LAOGHAIRE, DUBLIN",,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
826,2019-01-25T00:00:00,"Praiano  Ulverton Road, Dalkey",,Dublin,"€1,496,450.00",No,Yes,New Dwelling house /Apartment,
1476,2019-02-11T00:00:00,"5 SANDYCOVE AVE WEST, SANDYCOVE, DUBLIN",,Dublin,"€1,485,000.00",No,No,Second-Hand Dwelling house /Apartment,
